datetime,total_lmp_day_ahead,total_lmp_real_time,congestion_price_day_ahead,congestion_price_real_time,marginal_loss_price_day_ahead,marginal_loss_price_real_time,rt_da_spread,congestion_share_da,congestion_share_rt,da_price_spike,rt_price_spike,load_mw,temperature_2m,hour,dayofweek,month,is_weekend,sin_hour,cos_hour
2024-07-09 02:00:00,24.88423,24.412701,0.771272,0.282978,-0.387042,-0.470278,-0.4715290000000003,0.030994408908774754,0.011591425299478333,0,0,14341.932,22.4,0,4,1,0,0.0,1.0
2024-07-09 03:00:00,22.821578,21.758403,0.783732,0.31746,-0.362154,-0.426557,-1.0631749999999975,0.03434170941203102,0.01459022521092196,0,0,14065.097000000002,22.5,17,3,7,0,-0.9659258262890683,-0.25881904510252063
2024-07-09 04:00:00,22.382153,19.172253,0.694865,0.238767,-0.352712,-0.40568,-3.2098999999999975,0.031045494148842605,0.012453778906422734,0,0,13958.328,21.1,8,3,12,0,0.8660254037844387,-0.4999999999999998
2024-07-09 05:00:00,25.36408,22.087266,0.961655,0.057022,-0.377575,-0.523923,-3.2768140000000017,0.03791405010550353,0.002581668550557593,0,0,14267.009,21.8,1,3,6,0,0.25881904510252074,0.9659258262890683
2024-07-09 06:00:00,29.59078,32.561632,1.361984,2.241101,-0.481204,-0.652803,2.9708520000000043,0.046027309858003074,0.06882643351537171,0,0,14865.829,22.6,16,2,11,0,-0.8660254037844384,-0.5000000000000004
2024-07-09 07:00:00,32.878916,31.381247,0.792793,0.701863,-0.763877,-0.785616,-1.4976689999999984,0.024112504195697937,0.022365682281523105,0,0,15515.294,22.5,9,2,5,0,0.7071067811865476,-0.7071067811865475
2024-07-09 08:00:00,35.297553,27.481185,-0.127032,0.005675,-1.285415,-0.85199,-7.816368000000001,-0.003598889702070849,0.00020650492327750787,0,0,16317.254,23.4,1,2,10,0,0.25881904510252074,0.9659258262890683
2024-07-09 09:00:00,41.411267,66.09258,-2.779153,-7.067641,-1.81958,-2.601446,24.681312999999996,-0.06711103526487126,-0.10693546839902453,0,0,17115.966,24.6,17,1,4,0,-0.9659258262890683,-0.25881904510252063
2024-07-09 10:00:00,47.853328,52.053577,-1.993668,-6.477615,-2.133004,-1.924642,4.2002489999999995,-0.04166205535380946,-0.12444130400491019,0,0,18201.061999999998,26.0,9,1,9,0,0.7071067811865476,-0.7071067811865475
2024-07-09 11:00:00,57.017476,63.125104,-6.269672,-9.705831,-2.872852,-2.650732,6.107627999999998,-0.10996053210071943,-0.1537554852978935,0,0,19176.998,27.8,1,1,3,0,0.25881904510252074,0.9659258262890683
2024-07-09 12:00:00,69.704944,53.234522,-9.355101,-7.094855,-3.469955,-2.346456,-16.470422,-0.13421000668187896,-0.13327545234650554,0,0,19935.371,28.5,17,0,8,0,-0.9659258262890683,-0.25881904510252063
2024-07-09 13:00:00,76.085407,79.254845,-16.731326,-40.169445,-4.553267,-5.649877,3.1694379999999995,-0.21990190576229682,-0.5068389825252955,1,1,20532.656000000003,29.1,8,0,2,0,0.8660254037844387,-0.4999999999999998
2024-07-09 14:00:00,83.305809,80.903578,-22.34192,-113.079165,-5.252271,-9.258091,-2.4022310000000004,-0.268191621547064,-1.3977028926953021,1,1,20746.178,29.8,1,0,8,0,0.25881904510252074,0.9659258262890683
2024-07-09 15:00:00,85.178618,77.006236,-32.329457,-93.208238,-5.951925,-8.346359,-8.172381999999999,-0.37954897319418823,-1.2103985708378213,1,1,20625.035,30.5,16,6,1,1,-0.8660254037844384,-0.5000000000000004
