datetime,total_lmp_day_ahead,total_lmp_real_time,congestion_price_day_ahead,congestion_price_real_time,marginal_loss_price_day_ahead,marginal_loss_price_real_time,rt_da_spread,congestion_share_da,congestion_share_rt,da_price_spike,rt_price_spike,load_mw,temperature_2m,hour,dayofweek,month,is_weekend,sin_hour,cos_hour,load_mw_lag_1,load_mw_lag_24,load_mw_lag_168,total_lmp_day_ahead_lag_1,total_lmp_day_ahead_lag_24,total_lmp_day_ahead_lag_168,load_mw_rolling_mean_24,load_mw_rolling_std_24,da_lmp_rolling_mean_24,da_lmp_rolling_std_24,congestion_share_da_lag_1,target_da_lmp_next_hour,target_da_spike_next_hour
2025-04-11 23:00:00,51.756729,52.995861,2.443149,10.864373,0.19358,0.301489,1.239131999999998,0.04720447074620964,0.20500417947733693,0,0,14405.475,2.6,23,4,4,0,-0.25881904510252157,0.9659258262890681,14901.809,13871.638,13207.458,59.083798,45.581093,35.028232,14904.28175,951.1370927470653,54.56916175,11.064902712836181,0.051365926069952376,74.514554,1.0
2025-04-12 00:00:00,74.514554,63.420963,7.220814,10.497729,0.38374,0.534901,-11.093591000000004,0.09690474695721858,0.16552459160861369,1,0,14027.993,2.0,0,5,4,1,0.0,1.0,14405.475,13504.207,12717.6,51.756729,43.751946,40.513678,14926.524958333333,931.9871594424611,54.82647991666667,10.917622276192638,0.04720447074620964,67.553893,0.0
2025-04-12 01:00:00,67.553893,71.150713,6.862225,8.617462,0.511668,0.702418,3.596819999999994,0.10158148842732127,0.1211156099026021,0,0,13831.945,1.4,1,5,4,1,0.25881904510252074,0.9659258262890683,14027.993,13331.632,12342.536,74.514554,43.746013,38.158351,14948.349375,902.911750828836,56.10825524999999,11.357849534908416,0.09690474695721858,59.880426,0.0
2025-04-12 02:00:00,59.880426,92.893609,6.476701,18.840209,0.423725,0.924233,33.013183,0.10816056986635332,0.202814910549982,0,1,13658.906,0.9,2,5,4,1,0.49999999999999994,0.8660254037844387,13831.945,13225.414,12077.207,67.553893,39.69127,33.200461,14969.195749999999,869.104872606375,57.100250249999995,11.270541539130651,0.10158148842732127,60.624548,0.0
2025-04-12 03:00:00,60.624548,78.99211,6.820148,15.639981,0.4944,0.763795,18.367562,0.11249812534684794,0.19799421739715525,0,1,13768.414,0.6,3,5,4,1,0.7071067811865475,0.7071067811865476,13658.906,13283.3,11957.844,59.880426,39.47287,31.414557,14987.257916666667,835.1295151598725,57.94146508333333,10.65108857024468,0.10816056986635332,61.244003,0.0
2025-04-12 04:00:00,61.244003,82.820289,7.401262,20.601683,0.522741,0.719439,21.576286000000003,0.1208487629392873,0.24875164345297082,0,1,13976.696,0.3,4,5,4,1,0.8660254037844386,0.5000000000000001,13768.414,13499.53,11846.633,60.624548,41.270969,31.503378,15007.471,797.0994244027387,58.82278499999999,9.905464790163329,0.11249812534684794,66.285358,0.0
2025-04-12 05:00:00,66.285358,93.020682,8.004997,16.447905,0.710361,0.88361,26.73532399999999,0.12076569006385994,0.17681987109060326,0,1,14227.955,-0.1,5,5,4,1,0.9659258262890683,0.25881904510252074,13976.696,14006.637,12067.514,61.244003,43.342017,33.000247,15027.352916666665,763.0766213539214,59.65499474999999,9.179120092301646,0.1208487629392873,68.408662,0.0
2025-04-12 06:00:00,68.408662,97.189524,7.858925,17.854764,0.599737,0.84476,28.780862,0.11488201596458647,0.18371078759476173,0,1,14705.154,-0.3,6,5,4,1,1.0,6.123233995736766e-17,14227.955,15185.592,12344.865,66.285358,55.182169,33.902763,15036.5745,751.4539974222525,60.61096729166667,8.581600438880033,0.12076569006385994,75.711513,1.0
2025-04-12 07:00:00,75.711513,71.053611,9.857222,13.648061,0.604291,0.544716,-4.657901999999993,0.1301944923488717,0.1920811737492131,1,0,15070.881,-0.7,7,5,4,1,0.9659258262890683,-0.25881904510252063,14705.154,15628.58,12623.512,68.408662,66.523609,36.521912,15016.55625,753.7075704427862,61.16207116666667,8.642292219225808,0.11488201596458647,66.8303,0.0
2025-04-12 08:00:00,66.8303,64.017779,7.236754,12.494628,-0.056454,0.119818,-2.8125209999999896,0.10828552318334649,0.1951743436772463,0,0,15229.878,0.2,8,5,4,1,0.8660254037844387,-0.49999999999999983,15070.881,15996.258,13013.356,75.711513,79.318129,41.767559,14993.318791666667,742.5322695580874,61.544900500000004,9.082411839751003,0.1301944923488717,61.33014,0.0
2025-04-12 09:00:00,61.33014,66.934941,6.419124,10.197117,-0.148984,-0.323843,5.604800999999995,0.10466507984491802,0.15234370640589645,0,0,15051.205,2.4,9,5,4,1,0.7071067811865476,-0.7071067811865475,15229.878,15896.89,13372.231,66.8303,74.395905,41.914783,14961.386291666668,713.4346414351064,61.02457429166666,8.347935862717483,0.10828552318334649,60.861088,0.0
2025-04-12 10:00:00,60.861088,50.073964,6.000974,8.45833,-0.209886,-0.297699,-10.787124000000006,0.09860116204297892,0.1689167248672384,0,0,14855.608,5.4,10,5,4,1,0.49999999999999994,-0.8660254037844387,15051.205,15966.127,13601.416,61.33014,65.910293,44.185891,14926.149416666665,685.5606284107064,60.48016741666666,7.8491554684519675,0.10466507984491802,57.982589,0.0
2025-04-12 11:00:00,57.982589,110.472374,5.978483,23.773591,-0.145894,-0.610384,52.489785000000005,0.10310824513199988,0.21519942171243645,0,1,14447.798,7.7,11,5,4,1,0.258819045102521,-0.9659258262890682,14855.608,15821.133,13738.273,60.861088,64.143863,46.087195,14879.877791666666,648.8077637557537,60.269783875,7.764493104964386,0.09860116204297892,55.52147,0.0
